999888777666,Rice Crackers,,,,m,,,,2014-10-10 10:10:10,None,None,None,None
666777888999,Canned Tuna,,,,s,,,,2015-11-11 11:11:11,None,None,None,None
333333333333,Green Tea,,,,s,,,,2016-04-22 09:08:23,None,None,None,None
222333444555,Soy Milk,,,,xl,,,,2016-12-12 12:12:12,None,None,None,None
888777666555,Almond Butter,,,,l,,,,2017-01-01 01:01:01,None,None,None,None
555444333222,Pineapple Slices,,,,l,,,,2017-06-06 06:06:06,None,None,None,None
014893249557,Japan Cooking,,,,s,,,,2017-07-01 19:07:09,None,None,None,None
444455556666,Mixed Nuts,,,,m,,,,2017-11-11 11:11:11,None,None,None,None
444333222111,Frozen Berries,,,,m,,,,2018-02-02 02:02:02,None,None,None,None
111222333444,Quinoa Salad,,,,m,,,,2018-07-07 07:07:07,None,None,None,None
777788889999,Organic Honey,,,,s,,,,2018-08-08 08:08:08,None,None,None,None
123456789012,Spices Mix,,,,m,,,,2018-12-05 12:34:56,None,None,None,None
777666555444,Canned Beans,,,,s,,,,2019-03-03 03:03:03,None,None,None,None
987654321098,Organic Pasta,,,,l,,,,2019-03-21 08:45:32,None,None,None,None
999000888777,Gluten-Free Cookies,,,,s,,,,2019-09-09 14:14:14,None,None,None,None
987654321111,Chia Seeds,,,,xl,,,,2020-04-04 04:04:04,None,None,None,None
987654321000,Vanilla Extract,,,,l,,,,2020-05-05 15:45:55,None,None,None,None
555512349876,Tomato Sauce,,,,xl,,,,2020-10-15 17:29:18,None,None,None,None
123123123123,Coconut Milk,,,,xl,,,,2021-02-02 22:22:22,None,None,None,None
789012345678,Whole Wheat Bread,,,,m,,,,2021-06-30 10:15:42,None,None,None,None
